id_stayGPS,source_address,nm_prsn,stayGPS_start,stayGPS_end,stayGPS_x,stayGPS_y,stayGPS_duration,matched,wifi_id,spatial_dist,time_overlap,dist_to_nearest_sensor,nearest_sensor,dist_cat
244,70:70:0d:d9:32:42,P014,2019-11-13T15:51:18Z,2019-11-13T15:56:43Z,398435.843676842,332791.314581581,325,FALSE,,,,37.9669022149423,sensor_108_front_outside,30-50m
245,74:9e:af:23:2a:76,P073,2019-10-22T12:26:22Z,2019-10-22T12:29:32Z,398703.158739277,332938.916085305,190,FALSE,,,,10.7566574184913,sensor_bus_station,<30m
251,74:b5:87:97:2b:1c,P004,2019-10-23T02:09:59Z,2019-10-23T02:13:09Z,398522.892480643,332840.719303028,190,FALSE,,,,31.2243093662874,sensor_lake,30-50m
253,74:b5:87:97:2b:1c,P004,2019-10-30T14:11:57Z,2019-10-30T14:28:37Z,398444.727832961,332798.353243475,1000,FALSE,,,,48.5393840940685,sensor_108_front_outside,30-50m
254,74:b5:87:97:2b:1c,P004,2019-10-30T15:30:50Z,2019-10-30T15:48:50Z,398446.768324728,332797.212726846,1080,FALSE,,,,48.7517414469448,sensor_108_front_outside,30-50m
255,78:67:d7:3b:c4:fc,P007,2019-10-25T17:32:14Z,2019-10-25T17:35:14Z,398338.128504553,333225.548536262,180,FALSE,,,,18.8719031841947,sensor_dorm_front,<30m
256,78:67:d7:3b:c4:fc,P007,2019-10-30T14:12:32Z,2019-10-30T14:22:37Z,398527.789147746,332868.604381219,605,FALSE,,,,40.742661432521,sensor_lake,30-50m
259,80:b0:3d:94:19:c8,P088,2019-11-08T14:43:02Z,2019-11-08T14:46:42Z,398569.434437884,333013.879102292,220,FALSE,,,,51.772616413965,sensor_201_in,50-100m
261,88:9f:6f:06:1e:02,P017,2019-11-03T13:47:38Z,2019-11-03T13:53:28Z,398401.585436324,333000.091224519,350,FALSE,,,,43.3859912402492,sensor_203_front,30-50m
262,88:9f:6f:06:1e:02,P017,2019-11-04T17:59:07Z,2019-11-04T18:03:42Z,398483.741839705,332874.251134984,275,FALSE,,,,27.564980832214,sensor_lake,<30m
263,88:9f:6f:06:1e:02,P017,2019-11-05T15:36:21Z,2019-11-05T15:40:21Z,398702.698821363,332939.236438388,240,FALSE,,,,10.6194491427085,sensor_bus_station,<30m
264,88:9f:6f:06:1e:02,P017,2019-11-11T15:42:32Z,2019-11-11T15:47:52Z,398478.467631573,332822.428455474,320,FALSE,,,,29.3168801183214,sensor_lake,<30m
265,88:9f:6f:06:1e:02,P017,2019-11-12T14:16:19Z,2019-11-12T14:23:04Z,398650.779257477,332802.574780436,405,FALSE,,,,32.9137727036605,sensor_104_back,30-50m
266,88:9f:6f:06:1e:02,P017,2019-11-12T19:07:33Z,2019-11-12T19:15:28Z,398594.036278846,332930.316677902,475,FALSE,,,,33.8424094152159,sensor_btw_201_102,30-50m
267,88:9f:6f:84:53:98,P061,2019-10-30T14:11:46Z,2019-10-30T14:20:21Z,398449.616665755,333028.105335762,515,FALSE,,,,15.2010906378691,sensor_203_front,<30m
268,88:9f:6f:84:53:98,P061,2019-10-31T15:56:11Z,2019-10-31T16:03:01Z,398704.092925792,332936.731052559,410,FALSE,,,,10.3413679891893,sensor_bus_station,<30m
269,88:9f:6f:84:53:98,P061,2019-11-01T10:02:40Z,2019-11-01T10:05:40Z,398425.119724305,333172.694663622,180,FALSE,,,,15.0774676625664,sensor_gym_front,<30m
271,88:9f:6f:84:53:98,P061,2019-11-03T17:15:27Z,2019-11-03T17:24:17Z,398399.654169304,333040.047180998,530,FALSE,,,,43.1102843167579,sensor_114_inside,30-50m
272,88:9f:6f:84:53:98,P061,2019-11-03T17:26:52Z,2019-11-03T17:34:47Z,398398.334303887,333037.416163808,475,FALSE,,,,45.6443407823546,sensor_114_inside,30-50m
