id_stayGPS,source_address,nm_prsn,stayGPS_start,stayGPS_end,stayGPS_x,stayGPS_y,stayGPS_duration,matched,wifi_id,spatial_dist,time_overlap
45,08:ae:d6:28:34:bb,P101,2019-11-12T10:21:10Z,2019-11-12T10:24:35Z,398706.221781334,332933.340821871,205,TRUE,52,11.4315948061755,150
48,08:ae:d6:28:34:bb,P101,2019-11-14T17:33:46Z,2019-11-14T17:40:11Z,398698.803279781,332932.126950437,385,TRUE,53,3.94277124622674,94
49,08:ae:d6:4c:38:d9,P009,2019-10-22T16:36:04Z,2019-10-22T16:40:49Z,398711.14935576,332921.001713706,285,TRUE,54,19.6938743557373,176
50,08:ae:d6:4c:38:d9,P009,2019-10-31T16:46:52Z,2019-10-31T16:51:17Z,398346.580336699,333109.536251516,265,TRUE,58,53.0209588367803,217
52,08:ae:d6:4c:38:d9,P009,2019-11-10T18:18:07Z,2019-11-10T18:31:22Z,398697.203548506,332962.172552666,795,TRUE,60,30.1923093408529,300
54,08:ae:d6:51:4d:85,P098,2019-10-25T16:40:55Z,2019-10-25T16:45:00Z,398573.16847091,333130.94098132,245,TRUE,72,22.5240318613076,245
55,08:ae:d6:51:4d:85,P098,2019-10-25T17:07:40Z,2019-10-25T17:11:00Z,398694.341775058,332962.900267145,200,TRUE,75,30.8333731067932,160
56,08:ae:d6:51:4d:85,P098,2019-10-28T12:06:02Z,2019-10-28T12:09:57Z,398721.236746505,332923.246614811,235,TRUE,77,27.8129399039547,118
57,08:ae:d6:51:4d:85,P098,2019-10-30T17:19:05Z,2019-10-30T17:26:50Z,398705.65014744,332936.417952652,465,TRUE,78,11.6319181360237,465
59,08:ae:d6:51:4d:85,P098,2019-11-14T11:39:25Z,2019-11-14T11:42:25Z,398712.118024508,332925.537996407,180,TRUE,79,18.4524219592981,180
60,08:ae:d6:5e:ec:bb,P092,2019-10-26T17:36:36Z,2019-10-26T17:40:00Z,398709.313321282,332929.666799007,204,TRUE,81,14.6510710620021,204
62,08:ae:d6:5e:ec:bb,P092,2019-10-30T18:05:50Z,2019-10-30T18:09:35Z,398707.435525785,332933.758277248,225,TRUE,86,12.6872842050749,115
64,08:ae:d6:5e:ec:bb,P092,2019-11-01T15:38:28Z,2019-11-01T15:48:48Z,398393.68506583,332981.330539792,620,TRUE,88,27.8995537265554,180
67,08:ae:d6:63:49:ef,P031,2019-10-28T03:06:11Z,2019-10-28T03:09:31Z,398335.140966687,333228.26394903,200,TRUE,93,15.2711911685365,149
68,08:ae:d6:63:49:ef,P031,2019-10-28T15:54:44Z,2019-10-28T16:02:19Z,398307.844537118,333273.870929156,455,TRUE,94,38.4511216234567,455
71,08:ae:d6:63:49:ef,P031,2019-11-01T08:43:56Z,2019-11-01T08:48:16Z,398381.117352607,332979.660265405,260,TRUE,95,25.7560949289512,176
78,08:ae:d6:63:49:ef,P031,2019-11-04T19:39:50Z,2019-11-04T19:44:10Z,398514.152479973,332859.955028882,260,TRUE,97,24.6144806078706,170
79,08:ae:d6:63:49:ef,P031,2019-11-04T19:46:15Z,2019-11-04T19:53:20Z,398523.975212604,332887.84192461,425,TRUE,98,50.630370196035,145
82,08:ae:d6:65:75:23,P028,2019-10-27T13:34:25Z,2019-10-27T13:37:50Z,398706.662112583,332925.291451006,205,TRUE,104,13.6100862209621,205
83,08:ae:d6:65:75:23,P028,2019-10-27T18:05:19Z,2019-10-27T18:09:39Z,398708.263297015,332924.818094329,260,TRUE,105,15.2391822292902,260
84,08:ae:d6:65:75:23,P028,2019-10-30T12:49:16Z,2019-10-30T12:54:41Z,398437.691281193,333014.410375767,325,TRUE,106,4.75326414068579,324
88,08:ae:d6:65:75:23,P028,2019-11-02T09:53:30Z,2019-11-02T09:56:30Z,398230.701837562,333236.956207698,180,TRUE,108,21.0132514285322,180
92,08:ae:d6:65:75:23,P028,2019-11-08T17:54:40Z,2019-11-08T17:59:50Z,398703.060045399,332935.439626184,310,TRUE,109,8.86407447552868,310
95,08:ae:d6:a4:5a:c3,P036,2019-11-01T13:28:15Z,2019-11-01T13:36:50Z,398696.040568314,332959.227084533,515,TRUE,112,27.1814307053079,515
96,08:ae:d6:a4:5a:c3,P036,2019-11-06T17:06:48Z,2019-11-06T17:09:53Z,398710.29376026,332935.961750237,185,TRUE,114,15.9156840787945,185
97,08:ae:d6:a4:5a:c3,P036,2019-11-12T02:17:52Z,2019-11-12T02:21:27Z,398412.18306065,332949.297323,215,TRUE,115,26.396726430251,180
98,08:ae:d6:ab:44:71,P033,2019-10-28T12:30:44Z,2019-10-28T12:34:49Z,398700.281255872,332937.326772686,245,TRUE,118,7.5498744812944,245
