sensor_name,date,time_block,detections,unique_devices,time_label,datetime_label
U-06,2020-07-14,0,1147,383,00-04,2020-07-14 00-04
U-06,2020-07-14,1,1456,688,04-08,2020-07-14 04-08
U-06,2020-07-14,2,4635,1708,08-12,2020-07-14 08-12
U-06,2020-07-14,3,5710,1666,12-16,2020-07-14 12-16
U-06,2020-07-14,4,6628,2181,16-20,2020-07-14 16-20
U-06,2020-07-14,5,5203,1668,20-24,2020-07-14 20-24
U-06,2020-07-15,0,1473,465,00-04,2020-07-15 00-04
U-06,2020-07-15,1,1742,770,04-08,2020-07-15 04-08
U-06,2020-07-15,2,5409,1788,08-12,2020-07-15 08-12
U-06,2020-07-15,3,7732,2008,12-16,2020-07-15 12-16
U-06,2020-07-15,4,8499,2422,16-20,2020-07-15 16-20
U-06,2020-07-15,5,5612,1664,20-24,2020-07-15 20-24
U-06,2020-07-16,0,1956,518,00-04,2020-07-16 00-04
U-06,2020-07-16,1,1943,773,04-08,2020-07-16 04-08
U-06,2020-07-16,2,5989,1846,08-12,2020-07-16 08-12
U-06,2020-07-16,3,6486,1698,12-16,2020-07-16 12-16
U-06,2020-07-16,4,7298,2243,16-20,2020-07-16 16-20
U-06,2020-07-16,5,5595,1748,20-24,2020-07-16 20-24
U-06,2020-07-17,0,1745,487,00-04,2020-07-17 00-04
U-06,2020-07-17,1,1940,844,04-08,2020-07-17 04-08
U-06,2020-07-17,2,5943,1851,08-12,2020-07-17 08-12
U-06,2020-07-17,3,7191,1890,12-16,2020-07-17 12-16
U-06,2020-07-17,4,8523,2454,16-20,2020-07-17 16-20
U-06,2020-07-17,5,6983,2107,20-24,2020-07-17 20-24
U-06,2020-07-18,0,2265,716,00-04,2020-07-18 00-04
U-06,2020-07-18,1,1592,593,04-08,2020-07-18 04-08
U-06,2020-07-18,2,4379,1443,08-12,2020-07-18 08-12
U-06,2020-07-18,3,7424,1883,12-16,2020-07-18 12-16
U-06,2020-07-18,4,7535,2133,16-20,2020-07-18 16-20
U-06,2020-07-18,5,5805,1800,20-24,2020-07-18 20-24
U-06,2020-07-19,0,2067,573,00-04,2020-07-19 00-04
U-06,2020-07-19,1,1376,427,04-08,2020-07-19 04-08
U-06,2020-07-19,2,3167,1141,08-12,2020-07-19 08-12
U-06,2020-07-19,3,6115,1661,12-16,2020-07-19 12-16
U-06,2020-07-19,4,6566,1910,16-20,2020-07-19 16-20
U-06,2020-07-19,5,4679,1411,20-24,2020-07-19 20-24
U-06,2020-07-20,0,1569,459,00-04,2020-07-20 00-04
U-06,2020-07-20,1,2097,761,04-08,2020-07-20 04-08
U-06,2020-07-20,2,2876,1018,08-12,2020-07-20 08-12
U-06,2020-07-20,3,0,0,12-16,2020-07-20 12-16
U-06,2020-07-20,4,0,0,16-20,2020-07-20 16-20
U-06,2020-07-20,5,0,0,20-24,2020-07-20 20-24
U-07,2020-07-11,0,0,0,00-04,2020-07-11 00-04
U-07,2020-07-11,1,0,0,04-08,2020-07-11 04-08
U-07,2020-07-11,2,2127,577,08-12,2020-07-11 08-12
U-07,2020-07-11,3,5964,1386,12-16,2020-07-11 12-16
U-07,2020-07-11,4,7126,1660,16-20,2020-07-11 16-20
U-07,2020-07-11,5,5728,1358,20-24,2020-07-11 20-24
U-07,2020-07-12,0,2270,465,00-04,2020-07-12 00-04
U-07,2020-07-12,1,925,169,04-08,2020-07-12 04-08
U-07,2020-07-12,2,2221,511,08-12,2020-07-12 08-12
U-07,2020-07-12,3,4695,1054,12-16,2020-07-12 12-16
U-07,2020-07-12,4,5141,1222,16-20,2020-07-12 16-20
U-07,2020-07-12,5,3453,839,20-24,2020-07-12 20-24
U-07,2020-07-13,0,1147,212,00-04,2020-07-13 00-04
U-07,2020-07-13,1,715,148,04-08,2020-07-13 04-08
U-07,2020-07-13,2,1010,312,08-12,2020-07-13 08-12
U-07,2020-07-13,3,3429,787,12-16,2020-07-13 12-16
U-07,2020-07-13,4,4529,1074,16-20,2020-07-13 16-20
U-07,2020-07-13,5,3355,857,20-24,2020-07-13 20-24
U-07,2020-07-14,0,1311,263,00-04,2020-07-14 00-04
U-07,2020-07-14,1,627,143,04-08,2020-07-14 04-08
U-07,2020-07-14,2,2204,524,08-12,2020-07-14 08-12
U-07,2020-07-14,3,3938,925,12-16,2020-07-14 12-16
U-07,2020-07-14,4,5034,1328,16-20,2020-07-14 16-20
U-07,2020-07-14,5,5655,1214,20-24,2020-07-14 20-24
U-07,2020-07-15,0,3147,289,00-04,2020-07-15 00-04
U-07,2020-07-15,1,925,233,04-08,2020-07-15 04-08
U-07,2020-07-15,2,2467,605,08-12,2020-07-15 08-12
U-07,2020-07-15,3,4213,956,12-16,2020-07-15 12-16
U-07,2020-07-15,4,5919,1285,16-20,2020-07-15 16-20
U-07,2020-07-15,5,4209,980,20-24,2020-07-15 20-24
U-07,2020-07-16,0,1684,342,00-04,2020-07-16 00-04
U-07,2020-07-16,1,839,181,04-08,2020-07-16 04-08
U-07,2020-07-16,2,2439,584,08-12,2020-07-16 08-12
U-07,2020-07-16,3,4329,995,12-16,2020-07-16 12-16
U-07,2020-07-16,4,4815,1282,16-20,2020-07-16 16-20
U-07,2020-07-16,5,3979,1000,20-24,2020-07-16 20-24
U-07,2020-07-17,0,1626,305,00-04,2020-07-17 00-04
U-07,2020-07-17,1,696,161,04-08,2020-07-17 04-08
U-07,2020-07-17,2,2324,605,08-12,2020-07-17 08-12
U-07,2020-07-17,3,4222,1011,12-16,2020-07-17 12-16
U-07,2020-07-17,4,5572,1382,16-20,2020-07-17 16-20
U-07,2020-07-17,5,6073,1449,20-24,2020-07-17 20-24
U-07,2020-07-18,0,1994,499,00-04,2020-07-18 00-04
U-07,2020-07-18,1,777,175,04-08,2020-07-18 04-08
U-07,2020-07-18,2,1846,528,08-12,2020-07-18 08-12
U-07,2020-07-18,3,6002,1282,12-16,2020-07-18 12-16
U-07,2020-07-18,4,6210,1381,16-20,2020-07-18 16-20
U-07,2020-07-18,5,5134,1158,20-24,2020-07-18 20-24
U-07,2020-07-19,0,2307,408,00-04,2020-07-19 00-04
U-07,2020-07-19,1,708,136,04-08,2020-07-19 04-08
U-07,2020-07-19,2,1819,425,08-12,2020-07-19 08-12
U-07,2020-07-19,3,4892,1071,12-16,2020-07-19 12-16
U-07,2020-07-19,4,5290,1335,16-20,2020-07-19 16-20
U-07,2020-07-19,5,3762,918,20-24,2020-07-19 20-24
U-07,2020-07-20,0,1466,367,00-04,2020-07-20 00-04
U-07,2020-07-20,1,764,170,04-08,2020-07-20 04-08
U-07,2020-07-20,2,2151,778,08-12,2020-07-20 08-12
U-07,2020-07-20,3,0,0,12-16,2020-07-20 12-16
